,flight_id,timestamp,onground,callsign,altitude,geoaltitude,latitude,longitude,groundspeed,vertical_rate,distance,hour,icao24,last_position,lastseen,origin,spi,squawk,track,alert,day,firstseen,destination
25,DLH2YX_92,2022-05-09 09:28:42+00:00,False,DLH2YX,450.0,975.0,55.74164956302966,9.189891815185549,159.0,3008.0,636.5453429509417,2022-05-09 09:00:00+00:00,3c66a4,2022-05-09 09:28:41.621999872+00:00,2022-05-09 10:36:29+00:00,EKBI,False,5661,85.29638529570681,False,2022-05-09 00:00:00+00:00,2022-05-09 09:28:36+00:00,EDDF
26,DLH31E_94,2022-05-09 17:14:40+00:00,False,DLH31E,7225.0,7775.0,45.86444091796875,5.068180735518293,253.0,3328.0,529.4947026768135,2022-05-09 17:00:00+00:00,3c658c,2022-05-09 17:14:36.270999808+00:00,2022-05-09 18:13:28+00:00,LFHC,False,1000,353.4093912318511,False,2022-05-09 00:00:00+00:00,2022-05-09 17:14:36+00:00,EDDF
27,DLH351_99,2022-05-09 04:36:05+00:00,False,DLH351,-350.0,225.0,53.04711293365995,8.799185616629465,145.0,1600.0,336.10046844220017,2022-05-09 04:00:00+00:00,3c5464,2022-05-09 04:36:04.628000+00:00,2022-05-09 05:26:28+00:00,EDDW,False,1000,88.02506598911802,False,2022-05-09 00:00:00+00:00,2022-05-09 04:36:05+00:00,EDDF
28,DLH3EM_111,2022-05-09 09:13:01+00:00,True,DLH3EM,175.0,600.0,47.43404194460076,19.24454322228065,93.0,64.0,835.3911663889509,2022-05-09 09:00:00+00:00,3c6759,2022-05-09 09:13:00.510999808+00:00,2022-05-09 10:40:46+00:00,LHBP,False,1000,311.9413024259042,False,2022-05-09 00:00:00+00:00,2022-05-09 09:13:01+00:00,EDDF
29,DLH3FL_113,2022-05-09 04:22:14+00:00,False,DLH3FL,1175.0,1650.0,50.07461289228019,19.7635877454603,159.0,2688.0,800.5728024349264,2022-05-09 04:00:00+00:00,3c66a7,2022-05-09 04:22:13.908000+00:00,2022-05-09 05:49:29+00:00,EPKK,False,1000,256.9244189009101,False,2022-05-09 00:00:00+00:00,2022-05-09 04:22:14+00:00,EDDF
30,DLH3H_115,2022-05-09 18:39:41+00:00,False,DLH3H,675.0,1000.0,51.47765078787076,-0.4708099365234375,145.0,3072.0,652.7907581174753,2022-05-09 18:00:00+00:00,3c65cb,2022-05-09 18:39:39.895000064+00:00,2022-05-09 19:45:42+00:00,EGLL,False,2016,269.6048629574925,False,2022-05-09 00:00:00+00:00,2022-05-09 18:39:38+00:00,EDDF
31,DLH3NH_120,2022-05-09 05:33:17+00:00,False,DLH3NH,200.0,625.0,53.33706665039062,-2.300223214285666,156.0,3008.0,830.9988988259163,2022-05-09 05:00:00+00:00,3c66a9,2022-05-09 05:33:16.801000192+00:00,2022-05-09 06:53:51+00:00,EGCC,False,542,231.5124230292879,False,2022-05-09 00:00:00+00:00,2022-05-09 05:33:17+00:00,EDDF
32,DLH3P_122,2022-05-09 16:41:01+00:00,False,DLH3P,925.0,1350.0,50.09984420517743,14.26225816881334,117.0,192.0,408.6392514932081,2022-05-09 16:00:00+00:00,3c66a6,2022-05-09 16:40:57.996000+00:00,2022-05-09 17:37:56+00:00,LKPR,False,1000,127.3595932389733,False,2022-05-09 00:00:00+00:00,2022-05-09 16:41:01+00:00,EDDF
33,DLH401_131,2022-05-09 01:07:22+00:00,False,DLH401,36000.0,37000.0,50.19606768074682,-13.06905385610219,564.0,0.0,1534.2046891203818,2022-05-09 01:00:00+00:00,3c4b2f,2022-05-09 01:07:20.874000128+00:00,2022-05-09 03:02:28+00:00,IE-0066,False,1161,79.88604785420829,False,2022-05-09 00:00:00+00:00,2022-05-08 20:35:43+00:00,EDDF
34,DLH421_139,2022-05-09 02:24:59+00:00,False,DLH421,200.0,400.0,42.37774658203125,-70.99889581853694,138.0,1728.0,5882.173898713213,2022-05-09 02:00:00+00:00,3c64ef,2022-05-09 02:24:56.983000064+00:00,2022-05-09 08:47:49+00:00,KBOS,False,3530,19.87687219460331,False,2022-05-09 00:00:00+00:00,2022-05-09 02:24:59+00:00,EDDF
